Menu ID,NomeLocale,TipologiaLocale,City,venue_address,venue_city,venue_country,venue_state,venue_rating,Sezione_drink_list,Category Name,Item_Name,Description,Price,ingredients_brand_owner,ingredients_brand,Broad_category,ingredients_categoria,Sub_Category,Ranking_Top4
15,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Diageo,Tanqueray,SPIRITS,Gin,Gin,NO
16,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Unknown,Calvados,SPIRITS,Generic Product,Generic Product,NO
17,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Unknown,Maraschino,OTHER,Ingredients,Ingredients,NO
18,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Unknown,Lemon Juice,SOFT DRINK,Generic Product,Generic Product,NO
19,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Unknown,Dill,OTHER,Generic Product,Generic Product,NO
20,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Unknown,Apple,OTHER,Ingredients,Ingredients,NO
21,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Unknown,Jasmine,OTHER,Generic Product,Generic Product,NO
22,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Unknown,Bay Leaves,OTHER,Ingredients,Ingredients,NO
23,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Lost and Found,"Tanqueray London Dry Gin, Calvados, Maraschino, Lemon Juice, Dill, Apple, Jasmine, Bay Leaves, Olive Oil",15,Unknown,Olive Oil,OTHER,Ingredients,Ingredients,NO
24,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Tropical Breeze,"Beefeater London Dry Gin, Aperol, Lemon, Passion Fruit, Prosecco Millesimato",15,Pernod Ricard,Beefeater Red,SPIRITS,Gin,Gin,NO
25,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Tropical Breeze,"Beefeater London Dry Gin, Aperol, Lemon, Passion Fruit, Prosecco Millesimato",15,Campari Group,Aperol,SPIRITS,Aperitivi,Aperitivi,NO
26,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Tropical Breeze,"Beefeater London Dry Gin, Aperol, Lemon, Passion Fruit, Prosecco Millesimato",15,Unknown,Lemon,OTHER,Ingredients,Ingredients,NO
27,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Tropical Breeze,"Beefeater London Dry Gin, Aperol, Lemon, Passion Fruit, Prosecco Millesimato",15,Unknown,Passion Fruit,OTHER,Ingredients,Ingredients,NO
28,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Tropical Breeze,"Beefeater London Dry Gin, Aperol, Lemon, Passion Fruit, Prosecco Millesimato",15,Unknown,Prosecco Millesimato,WINE,Champagne,Champagne,NO
29,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Sorbetiño,"Sagatiba Cachaça, Lemon Juice, Lavander, Melon, Egg White",16,Unknown,Lemon Juice,SOFT DRINK,Generic Product,Generic Product,NO
30,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Sorbetiño,"Sagatiba Cachaça, Lemon Juice, Lavander, Melon, Egg White",16,Unknown,Lavander,OTHER,Ingredients,Ingredients,NO
31,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Sorbetiño,"Sagatiba Cachaça, Lemon Juice, Lavander, Melon, Egg White",16,Di Saronno,Artic Melone,SPIRITS,Vodka,Vodka,NO
32,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Sorbetiño,"Sagatiba Cachaça, Lemon Juice, Lavander, Melon, Egg White",16,Unknown,Egg White,OTHER,Ingredients,Ingredients,NO
33,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,El Paloma Caliente,"Altos Blanco Tequila, Amaro Montenegro, Lime Juice, Spicy Mango Agave, Grapefruit Tonic",16,Gruppo Montenegro,Montenegro,SPIRITS,Amari,Amari,NO
34,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,El Paloma Caliente,"Altos Blanco Tequila, Amaro Montenegro, Lime Juice, Spicy Mango Agave, Grapefruit Tonic",16,Unknown,Lime Juice,OTHER,Ingredients,Ingredients,NO
35,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,El Paloma Caliente,"Altos Blanco Tequila, Amaro Montenegro, Lime Juice, Spicy Mango Agave, Grapefruit Tonic",16,Unknown,Spicy Mango Agave,OTHER,Ingredients,Ingredients,NO
36,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,El Paloma Caliente,"Altos Blanco Tequila, Amaro Montenegro, Lime Juice, Spicy Mango Agave, Grapefruit Tonic",16,Unknown,Grapefruit Tonic,SOFT DRINK,Generic Product,Generic Product,NO
37,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Michelada della Casa,"Altos Tequila Blanco, Peach Cordial, Pepper Mix, Soda",16.5,Unknown,Peach Cordial,OTHER,Ingredients,Ingredients,NO
38,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Michelada della Casa,"Altos Tequila Blanco, Peach Cordial, Pepper Mix, Soda",16.5,Unknown,Pepper Mix,OTHER,Ingredients,Ingredients,NO
39,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Michelada della Casa,"Altos Tequila Blanco, Peach Cordial, Pepper Mix, Soda",16.5,Unknown,Soda,SOFT DRINK,Generic Mixer,Generic Mixer,NO
40,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Brera Mule,"Ketel One Vodka, Yuzu Sake, Lime Juice, Spiced ginger, Angostura Bitter, Tonic",16,Diageo,Ketel One,SPIRITS,Vodka,Vodka,NO
41,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Brera Mule,"Ketel One Vodka, Yuzu Sake, Lime Juice, Spiced ginger, Angostura Bitter, Tonic",16,Unknown,Yuzu Sake,OTHER,Generic Product,Generic Product,NO
42,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Brera Mule,"Ketel One Vodka, Yuzu Sake, Lime Juice, Spiced ginger, Angostura Bitter, Tonic",16,Unknown,Lime Juice,OTHER,Ingredients,Ingredients,NO
43,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Brera Mule,"Ketel One Vodka, Yuzu Sake, Lime Juice, Spiced ginger, Angostura Bitter, Tonic",16,Unknown,Spiced Ginger,OTHER,Ingredients,Ingredients,NO
44,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Brera Mule,"Ketel One Vodka, Yuzu Sake, Lime Juice, Spiced ginger, Angostura Bitter, Tonic",16,D&C,Angostura Bitter,SPIRITS,Bitter,Bitter,NO
45,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Brera Mule,"Ketel One Vodka, Yuzu Sake, Lime Juice, Spiced ginger, Angostura Bitter, Tonic",16,Unknown,Tonic,SOFT DRINK,Generic Mixer,Generic Mixer,NO
46,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Bloody Smash,"Hermano Pisco Quebranta, Ancho Reyes Chilly, Tomato, Strawberry, Basil, Suchuan Pepper",15,Unknown,Tomato,OTHER,Ingredients,Ingredients,NO
47,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Bloody Smash,"Hermano Pisco Quebranta, Ancho Reyes Chilly, Tomato, Strawberry, Basil, Suchuan Pepper",15,Unknown,Strawberry,OTHER,Ingredients,Ingredients,NO
48,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Bloody Smash,"Hermano Pisco Quebranta, Ancho Reyes Chilly, Tomato, Strawberry, Basil, Suchuan Pepper",15,Unknown,Basil,OTHER,Ingredients,Ingredients,NO
49,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Bloody Smash,"Hermano Pisco Quebranta, Ancho Reyes Chilly, Tomato, Strawberry, Basil, Suchuan Pepper",15,Unknown,Suchuan Pepper,OTHER,Ingredients,Ingredients,NO
50,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,The Mezcal Madness,"Selvatico Mezcal Joven, Lemon Grass Juice, Spiced Pineapple, Sage, Nasturtium Aloe",16.5,Unknown,Lemon Grass Juice,SOFT DRINK,Generic Product,Generic Product,NO
51,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,The Mezcal Madness,"Selvatico Mezcal Joven, Lemon Grass Juice, Spiced Pineapple, Sage, Nasturtium Aloe",16.5,Unknown,Spiced Pineapple,OTHER,Ingredients,Ingredients,NO
52,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,The Mezcal Madness,"Selvatico Mezcal Joven, Lemon Grass Juice, Spiced Pineapple, Sage, Nasturtium Aloe",16.5,Unknown,Sage,OTHER,Ingredients,Ingredients,NO
53,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,The Mezcal Madness,"Selvatico Mezcal Joven, Lemon Grass Juice, Spiced Pineapple, Sage, Nasturtium Aloe",16.5,Unknown,Nasturtium Aloe,OTHER,Generic Product,Generic Product,NO
54,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Flamingo Collins,"Bacardi Carta Oro, Cointreau, Lime Juice, Mint, Coconout, Ibisco, Aromatic Bitter",15,Bacardi Martini,Bacardi Carta Oro,SPIRITS,Rum,Rum,NO
55,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Flamingo Collins,"Bacardi Carta Oro, Cointreau, Lime Juice, Mint, Coconout, Ibisco, Aromatic Bitter",15,Unknown,Lime Juice,OTHER,Ingredients,Ingredients,NO
56,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Flamingo Collins,"Bacardi Carta Oro, Cointreau, Lime Juice, Mint, Coconout, Ibisco, Aromatic Bitter",15,Unknown,Mint,OTHER,Ingredients,Ingredients,NO
57,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Flamingo Collins,"Bacardi Carta Oro, Cointreau, Lime Juice, Mint, Coconout, Ibisco, Aromatic Bitter",15,Unknown,Coconut,OTHER,Ingredients,Ingredients,NO
58,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Flamingo Collins,"Bacardi Carta Oro, Cointreau, Lime Juice, Mint, Coconout, Ibisco, Aromatic Bitter",15,Unknown,Ibisco,OTHER,Ingredients,Ingredients,NO
59,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Flamingo Collins,"Bacardi Carta Oro, Cointreau, Lime Juice, Mint, Coconout, Ibisco, Aromatic Bitter",15,Unknown,Aromatic Bitter,SPIRITS,Generic Product,Generic Product,NO
60,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,RED WINE,Red_Wine,Valpolicella Classico Superiore Masi DOC,,14,Unknown,Valpolicella Classico Superiore Masi Doc,WINE,Wine,Wine,NO
61,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,RED WINE,Red_Wine,Chateau Milon Caprice Saint Emilion ASEC,,,Unknown,Chateau Milon Caprice Saint Emilion Asec,WINE,Wine,Wine,NO
62,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,RED WINE,Red_Wine,Chàteauneuf Du Pape,,,Unknown,Ch�teauneuf Du Pape,WINE,Generic Product,Generic Product,NO
63,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Rum,Rum,Appleton Estate 12 Yo,,12,Campari Group,Appleton 12 yo,SPIRITS,Rum,Rum,NO
64,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Rum,Rum,Appleton Estate 21 Yo,,25,Campari Group,Appleton 21 yo,SPIRITS,Rum,Rum,NO
65,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Tanqueray Export,,10,Diageo,Tanqueray,SPIRITS,Gin,Gin,YES
66,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Bombay Sapphire,,10,Bacardi Martini,Bombay Saphire,SPIRITS,Gin,Gin,YES
67,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Martin Miller's Westbourne,,11,Compagnia Dei Caraibi,Martin Millers Westbourne,SPIRITS,Gin,Gin,NO
68,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Malfy Gin Original,,11,Pernod Ricard,Malfy,SPIRITS,Gin,Gin,NO
69,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Malfy Gin Rosa,,11,Pernod Ricard,Malfy Rosa,SPIRITS,Gin,Gin,NO
70,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Malfy Gin Limone,,11,Pernod Ricard,Malfy Limone,SPIRITS,Gin,Gin,NO
71,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Plymouth Gin,,11,Pernod Ricard,Plymouth,SPIRITS,Gin,Gin,NO
72,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Sipsmith London Dry Gin,,11,Coca Cola HBC,Sipsmith,SPIRITS,Gin,Gin,NO
73,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Gin,Gin,Roku Gin,,11.5,Stock,Roku,SPIRITS,Gin,Gin,NO
