Region,City,Venue_Name,Customer_Type,BrandOwner,Brand,MacroCategory,Product_Category,CocktailName,Price,Top4
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Mojito,10,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Various,Lime Juice,SOFT DRINKS,Juice,Mojito,10,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Various,Mint,OTHER,Herbs,Mojito,10,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Various,Soda,SOFT DRINKS,Soda,Mojito,10,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Bacardi Martini,Rum Bacardi Carta Oro,SPIRITS,Rum,Cuba Libre,8,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Coca Cola HBC,Coca Cola,SOFT DRINKS,Cola,Cuba Libre,8,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Various,Lime,OTHER,Fruit,Cuba Libre,8,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Boulevardier,10,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Boulevardier,10,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Campari group,Wild turkey 101 proof,SPIRITS,American Whisky,Boulevardier,10,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Diageo,Gin Tanqueray,SPIRITS,Gin,Gin Tonic Tanqueray,12,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Gin Tonic Tanqueray,12,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Diageo,Johnnie walker black label,SPIRITS,Scotch Whisky,Johnnie Walker Highball,9,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Various,Soda,SOFT DRINKS,Soda,Johnnie Walker Highball,9,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Brown forman,Gin mare,SPIRITS,Gin,Gin Mare Mediterranean,17,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Fever-tree,Fever-Tree Mediterranean,SOFT DRINKS,Tonica,Gin Mare Mediterranean,17,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Various,Rosemary,OTHER,Herbs,Gin Mare Mediterranean,17,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Pernod ricard,Gin Beefeater,SPIRITS,Gin,Beefeater Negroni,14,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Beefeater Negroni,14,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Beefeater Negroni,14,Yes
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Diageo,Rum Zacapa Solera Gran Reserva,SPIRITS,Rum,Zacapa Old Fashioned,14,No
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Various,Angostura Bitters,SPIRITS,Bitter,Zacapa Old Fashioned,14,No
Lombardia,Brescia,Lounge Classic Corner,WINE BAR,Various,Sugar,OTHER,Sugar,Zacapa Old Fashioned,14,No
Lombardia,Brescia,La Golden Club,WINE BAR,Diageo,Baileys Original Irish Cream,SPIRITS,Liquore,Espresso Martini,13,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Various,Vodka,SPIRITS,Vodka,Espresso Martini,13,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Various,Espresso,SOFT DRINKS,Coffee,Espresso Martini,13,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Garibaldi,10,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Various,Orange Juice,SOFT DRINKS,Juice,Garibaldi,10,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Mojito,11,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Various,Lime Juice,SOFT DRINKS,Juice,Mojito,11,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Various,Mint,OTHER,Herbs,Mojito,11,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Various,Soda,SOFT DRINKS,Soda,Mojito,11,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Negroni,13,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Diageo,Gin Tanqueray,SPIRITS,Gin,Negroni,13,Yes
Lombardia,Brescia,La Golden Club,WINE BAR,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Negroni,13,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Pernod ricard,Gin monkey 47,SPIRITS,Gin,Monkey 47 GT,18,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Monkey 47 GT,18,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Pernod ricard,St. Germain Liquore Di Sambuco,SPIRITS,Liquore,St Germain Spritz,11,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Various,Prosecco,WINE,Sparkling Wine,St Germain Spritz,11,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Various,Soda,SOFT DRINKS,Soda,St Germain Spritz,11,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Bacardi Martini,aperitivo martini rosato,SPIRITS,Aperitivi,Martini Rosato Spritz,12,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Various,Prosecco,WINE,Sparkling Wine,Martini Rosato Spritz,12,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Various,Soda,SOFT DRINKS,Soda,Martini Rosato Spritz,12,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Campari group,Aperol,SPIRITS,Aperitivi,Aperol Spritz,14,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Various,Prosecco,WINE,Sparkling Wine,Aperol Spritz,14,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Various,Soda,SOFT DRINKS,Soda,Aperol Spritz,14,Yes
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Mavolo,Gin amuerte coca leaf black,SPIRITS,Gin,Amuerte Black Tonic,18,No
Lombardia,Brescia,The Blue Spirits,HOTEL BAR,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Amuerte Black Tonic,18,No
Lombardia,Brescia,La Alto Club,HOTEL BAR,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Mojito,11,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Various,Lime Juice,SOFT DRINKS,Juice,Mojito,11,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Various,Mint,OTHER,Herbs,Mojito,11,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Various,Soda,SOFT DRINKS,Soda,Mojito,11,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Diageo,Baileys Original Irish Cream,SPIRITS,Liquore,Espresso Martini,14,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Various,Vodka,SPIRITS,Vodka,Espresso Martini,14,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Various,Espresso,SOFT DRINKS,Coffee,Espresso Martini,14,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Diageo,Baileys Original Irish Cream,SPIRITS,Liquore,Espresso Martini,14,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Various,Vodka,SPIRITS,Vodka,Espresso Martini,14,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Various,Espresso,SOFT DRINKS,Coffee,Espresso Martini,14,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Brown forman,Gin mare,SPIRITS,Gin,Gin Mare Mediterranean,15,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Fever-tree,Fever-Tree Mediterranean,SOFT DRINKS,Tonica,Gin Mare Mediterranean,15,Yes
Lombardia,Brescia,La Alto Club,HOTEL BAR,Various,Rosemary,OTHER,Herbs,Gin Mare Mediterranean,15,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Mojito,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Lime Juice,SOFT DRINKS,Juice,Mojito,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Mint,OTHER,Herbs,Mojito,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Soda,SOFT DRINKS,Soda,Mojito,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Bacardi Martini,Rum Bacardi Carta Oro,SPIRITS,Rum,Cuba Libre,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Coca Cola HBC,Coca Cola,SOFT DRINKS,Cola,Cuba Libre,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Lime,OTHER,Fruit,Cuba Libre,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Daiquiri,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Lime Juice,SOFT DRINKS,Juice,Daiquiri,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Sugar Syrup,OTHER,Syrup,Daiquiri,12,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Campari Spritz,13,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Prosecco,WINE,Sparkling Wine,Campari Spritz,13,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Soda,SOFT DRINKS,Soda,Campari Spritz,13,Yes
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Diageo,Gin Tanqueray,SPIRITS,Gin,Martini Dry,13,No
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Bacardi Martini,Martini Extra Dry,SPIRITS,Vermouth,Martini Dry,13,No
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Pernod ricard,St. Germain Liquore Di Sambuco,SPIRITS,Liquore,St Germain Spritz,14,No
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Prosecco,WINE,Sparkling Wine,St Germain Spritz,14,No
Lombardia,Como,Osteria Basso Cocktails,RISTORANTE,Various,Soda,SOFT DRINKS,Soda,St Germain Spritz,14,No
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Bacardi Martini,Rum Bacardi Carta Oro,SPIRITS,Rum,Cuba Libre,10,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Coca Cola HBC,Coca Cola,SOFT DRINKS,Cola,Cuba Libre,10,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Various,Lime,OTHER,Fruit,Cuba Libre,10,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Mavolo,Gin amuerte coca leaf white,SPIRITS,Gin,Amuerte White Martini,10,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Bacardi Martini,Martini Extra Dry,SPIRITS,Vermouth,Amuerte White Martini,10,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Various,Olive,OTHER,Garnish,Amuerte White Martini,10,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Garibaldi,11,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Various,Orange Juice,SOFT DRINKS,Juice,Garibaldi,11,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Mojito,12,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Various,Lime Juice,SOFT DRINKS,Juice,Mojito,12,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Various,Mint,OTHER,Herbs,Mojito,12,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Various,Soda,SOFT DRINKS,Soda,Mojito,12,Yes
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Daiquiri,10,No
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Various,Lime Juice,SOFT DRINKS,Juice,Daiquiri,10,No
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Various,Sugar Syrup,OTHER,Syrup,Daiquiri,10,No
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Mavolo,Gin amuerte coca leaf black,SPIRITS,Gin,Amuerte Black Tonic,17,No
Lombardia,Como,Bar Royal Lounge,RISTORANTE,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Amuerte Black Tonic,17,No
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Mavolo,Gin amuerte coca leaf red,SPIRITS,Gin,Amuerte Red Negroni,18,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Amuerte Red Negroni,18,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Amuerte Red Negroni,18,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Diageo,Baileys Original Irish Cream,SPIRITS,Liquore,Espresso Martini,12,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Various,Vodka,SPIRITS,Vodka,Espresso Martini,12,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Various,Espresso,SOFT DRINKS,Coffee,Espresso Martini,12,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Brown forman,Rum Diplomático Reserva Exclusiva,SPIRITS,Rum,Diplomatico Reserva OF,17,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Various,Angostura Bitters,SPIRITS,Bitter,Diplomatico Reserva OF,17,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Various,Sugar,OTHER,Sugar,Diplomatico Reserva OF,17,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Bacardi Martini,Rum Bacardi Carta Oro,SPIRITS,Rum,Cuba Libre,11,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Coca Cola HBC,Coca Cola,SOFT DRINKS,Cola,Cuba Libre,11,Yes
Lombardia,Como,Il Verde Lounge,ROOFTOP BAR,Various,Lime,OTHER,Fruit,Cuba Libre,11,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Mojito,10,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Various,Lime Juice,SOFT DRINKS,Juice,Mojito,10,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Various,Mint,OTHER,Herbs,Mojito,10,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Various,Soda,SOFT DRINKS,Soda,Mojito,10,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Negroni,14,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Diageo,Gin Tanqueray,SPIRITS,Gin,Negroni,14,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Negroni,14,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Milano Torino,12,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Milano Torino,12,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Mavolo,Gin amuerte coca leaf black,SPIRITS,Gin,Amuerte Black Tonic,14,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Amuerte Black Tonic,14,Yes
Lombardia,Monza,Bar Bohemien,RISTORANTE,Brown forman,Gentleman Jack,SPIRITS,American Whisky,Gentleman Jack Sour,18,No
Lombardia,Monza,Bar Bohemien,RISTORANTE,Various,Lemon Juice,SOFT DRINKS,Juice,Gentleman Jack Sour,18,No
Lombardia,Monza,Bar Bohemien,RISTORANTE,Various,Sugar Syrup,OTHER,Syrup,Gentleman Jack Sour,18,No
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Mavolo,Gin Bobby's,SPIRITS,Gin,Bobby Gin Tonic,14,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Bobby Gin Tonic,14,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Various,Cloves,OTHER,Spices,Bobby Gin Tonic,14,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Bacardi Martini,Gin bombay sapphire,SPIRITS,Gin,Bombay Sapphire GT,10,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Bombay Sapphire GT,10,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Americano,8,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Americano,8,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Various,Soda,SOFT DRINKS,Soda,Americano,8,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Campari group,Aperol,SPIRITS,Aperitivi,Aperol Spritz,11,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Various,Prosecco,WINE,Sparkling Wine,Aperol Spritz,11,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Various,Soda,SOFT DRINKS,Soda,Aperol Spritz,11,Yes
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Milano Torino,13,No
Lombardia,Monza,Lounge Grande Drinks,COCKTAIL BAR,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Milano Torino,13,No
Piemonte,Torino,Club Classic,COCKTAIL BAR,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Daiquiri,14,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Various,Lime Juice,SOFT DRINKS,Juice,Daiquiri,14,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Various,Sugar Syrup,OTHER,Syrup,Daiquiri,14,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Pernod ricard,Jameson Irish Whiskey Triple Distilled,SPIRITS,Irish Whisky,Jameson Ginger,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Various,Ginger Ale,SOFT DRINKS,Mixer,Jameson Ginger,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Mojito,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Various,Lime Juice,SOFT DRINKS,Juice,Mojito,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Various,Mint,OTHER,Herbs,Mojito,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Various,Soda,SOFT DRINKS,Soda,Mojito,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Mavolo,Gin Bobby's,SPIRITS,Gin,Bobby Gin Tonic,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Bobby Gin Tonic,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Various,Cloves,OTHER,Spices,Bobby Gin Tonic,11,Yes
Piemonte,Torino,Club Classic,COCKTAIL BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Garibaldi,11,No
Piemonte,Torino,Club Classic,COCKTAIL BAR,Various,Orange Juice,SOFT DRINKS,Juice,Garibaldi,11,No
Piemonte,Torino,Bar Antico Lounge,WINE BAR,Diageo,Gin Tanqueray,SPIRITS,Gin,Gin Tonic Tanqueray,13,Yes
